time, instructions, freed, alive, gc_latency (us)
5540000, 1705915, 2071193, 100151, 956930
5550000, 1689165, 2279445, 95706, 1069645
5560000, 1703496, 2064991, 100248, 951963
5570000, 1707043, 2299419, 95697, 1103451
5580000, 1695413, 2058342, 100389, 971328
5590000, 1706341, 2302006, 90551, 1076491
5600000, 1702157, 2068822, 95423, 949975
5610000, 1690244, 2267608, 90075, 1063842
5620000, 1705099, 2074932, 100622, 941246
5630000, 1719097, 2274630, 94680, 1075572
5640000, 1688809, 2090065, 100672, 997190
5650000, 1709970, 2237381, 95490, 1009828
5660000, 1709330, 2143235, 100777, 979694
5670000, 1700813, 2198226, 90568, 1001368
5680000, 1707276, 2172185, 95641, 988398
5690000, 1716127, 2170503, 95686, 990464
5700000, 1699886, 2200428, 100797, 1014703
5710000, 1712082, 2167934, 92503, 994023
5720000, 1705262, 2209681, 100805, 1002732
5730000, 1700914, 2146048, 93665, 987067
5740000, 1704178, 2214851, 100845, 1005249
5750000, 1721289, 2169660, 89551, 988009
5760000, 1693990, 2210329, 95783, 1015544
5770000, 1718587, 2147737, 95126, 980653
5780000, 1705188, 2233733, 100902, 1004314
5790000, 1707487, 2129678, 95447, 978917
5800000, 1709002, 2247470, 100876, 1023426
5810000, 1715989, 2130394, 95620, 985420
5820000, 1697024, 2241519, 100859, 1023078
5830000, 1722833, 2135107, 90562, 978010
5840000, 1701133, 2256573, 95781, 1013312
5850000, 1703737, 2091656, 95715, 962693
5860000, 1700826, 2263477, 100869, 1059604
5870000, 1719601, 2108738, 95717, 1003518
5880000, 1686669, 2249606, 100859, 1042084
5890000, 1718310, 2103679, 95718, 972280
5900000, 1705613, 2272716, 100883, 1071537
5910000, 1694130, 2075436, 90583, 957348
5920000, 1705393, 2276016, 95726, 1047768
5930000, 1715094, 2084679, 95704, 962240
5940000, 1694527, 2268317, 100878, 1076620
5950000, 1706896, 2075678, 95704, 958668
5960000, 1702989, 2283013, 100843, 1052457
5970000, 1695372, 2065734, 96318, 958275
5980000, 1704793, 2281508, 100850, 1070388
5990000, 1705248, 2091151, 92007, 969085
6000000, 1693043, 2258851, 95724, 1069125
6010000, 1704683, 2086655, 97671, 965954
6020000, 1704473, 2265999, 100844, 1048886
6030000, 1690280, 2081099, 98139, 962263
6040000, 1706178, 2261566, 100830, 1043581
6050000, 1708563, 2112255, 98732, 1000549
6060000, 1693681, 2243896, 100801, 1063382
6070000, 1700078, 2106492, 93833, 971989
6080000, 1704403, 2280726, 85674, 1062436
6090000, 1687021, 2056537, 99224, 940155
6100000, 1715529, 2304173, 92180, 1076417
6110000, 1703198, 2074745, 99614, 958219
6120000, 1699173, 2285299, 94778, 1090661
6130000, 1698011, 2064749, 99821, 966382
6140000, 1707360, 2304749, 90405, 1077596
6150000, 1686000, 2044938, 94887, 940657
6160000, 1713244, 2306010, 95706, 1073867
6170000, 1702789, 2064493, 100181, 948283
6180000, 1702006, 2296709, 95697, 1097203
6190000, 1700553, 2060954, 100321, 965214
